Double Dragon								|				|	y	| 0.78	|			| ddragon, ddragonw
Double Dragon 3								|				|	y	| 0.78	|			| ddragon3
Double Dragon II							|				|	y	| 0.78	|			| ddragon2
Double Dribble								|				|	y	| 0.78	|			| ddibble
Dr Mario									|				|		|		|			|
Dr Micro									|				|		|		|			|
Dragon Blaze								|				|		|		|			|
Dragon Breed								|				|		|		|			|
Dragon Spirit								|				|		|		|			|
Dragon's Lair								|				|		|		|daphne-emu	| http://www.daphne-emu.com/site3/index_hi.php
Dragon's Lair II Time Warp					|				|		|		|daphne-emu	| http://www.daphne-emu.com/site3/index_hi.php
Dungeons & Dragons - Shadows Over Mystara	|				|	y	| 0.78	|			| ddsom, ddsomjr1, ddsomj, ddsomu, ddsomur1?
Dungeons & Dragons - Tower of Doom			|				|	y	| 0.78	|			| ddtoda?, ddtod, ddtodh, ddtodj, ddtodu?, ddtour1?
Dynamyte Cop   								|				|		|		|			|
Dynasty Wars								|				|		|		|			|
E-Swat Cyber Police							|				|		|		|			|
E.D.F.: Earth Defense Force					|				|		|		|			|
Eco Fighters								|				|		|		|			|
Ehrgeiz										|				|		|		|			|
Eight Man   								|				|		|		|			|
Elevator Action								|				|	y	| 0.78	|			| elevator
Elevator Action Returns						|				|		|		|			|
Emeraldia									|				|		|		|			|
Escape From The Planet Of The Robot Monsters|				|		|		|			|
Esp Ra.De.									|				|		|		|			|
Espgaluda									|				|		|		|			|
Espgaluda Ii								|				|		|		|			|
Excite Bike									|				|		|		|			|
Extreme Downhill							|				|		|		|			|
Eyes										|				|		|		|			|
Fantastic Journey							|				|		|		|			|
Fantasy Zone								|				|	y	| 0.78	|			| fantzone, fantzono
Fatal Fury									|				|		|		|			|
Fatal Fury 2								|				|		|		|			|
Fatal Fury 3								|				|		|		|			|
Fever Sos									|				|		|		|			|
Fighting Layer								|				|		|		|			|
Fighting Vipers								|				|		|		|			|
Fighting Vipers 2							|				|		|		|			|
Final Fight									|				|	y	| 0.78	|			| ffightj, ffightj1, ffightu, ffight
Final Star Force							|				|		|		|			|
Fist Of The North Star						|				|		|		|			|
Flame Gunner								|				|		|		|			|
Flicky										|				|	y	| 0.78	|			| flicky, flickyo
Flying Shark								|				|		|		|			|
Food Fight									|				|	y	| 0.78	|			| foodfc, foodf2, foodf
Football Champ								|				|		|		|			|
Football Frenzy								|				|		|		|			|
Frogger										|				|	y	| 0.78	|			| frogger, froggermc, frogseg1, frogseg2
G Darius Ver.2								|				|		|		|			|
Gaia Crusaders   							|				|		|		|			|
Gaiapolis   								|				|		|		|			|
Galaga										|				|	y	| 0.78	|			| galagads, galagamw, galaga
Galaga '84									|				|	y	| 0.78	|			| galaga84
Galaga '88									|				|	y	| 0.78	|			| galaga88, galaga88b
Galaga 3									|				|	y	| 0.78	|			| galaga3a, galaga3m, galaga3
Galaxian									|				|		|		|			|
Galaxy Force 2								|				|		|		|			|
Gang Busters								|				|		|		|			|
Ganryu										|				|		|		|			|
Garou: Mark Of The Wolf						|				|		|		|			|
Gauntlet									|				|	y	| 0.78	|			| gauntlet, gauntr1?, gauntr2, gauntr4?, gauntr5?, gauntr7?, gauntr9?, gaun2pr3, gaunt2p
Gauntlet Dark Legacy						|				|		|		|			| 
Gauntlet II									|				|	y	| 0.78	|			| gaunt2, gaun22p1, gaunt22p
Gauntlet Legends							|				|		|		|			| 
Gemini Wing									|				|		|		|			|
Ghostlop									|				|		|		|			|
Ghosts & Goblins							|				|	y	| 0.78	|			| gngt, gng, gnga
Ghouls & Ghosts								|				|	y	| 0.78	|			| ghoulsu?, ghouls
Giga Wing									|				|		|		|			|
Giga Wing 2									|				|		|		|			|
Gigawing Generations						|				|		|		|			|
Golden Axe									|				|	y	| 0.78	|			| goldnaxe
Golden Axe - The Duel						|				|		|		|			|
Golden Axe: The Revenge of Death Adder		|				|		| 		|			| 
Golden Tee Golf 							|trk,2+bt		|		| 		|			| 
Golden Tee Golf II 							|trk,2+bt		|	y	| 0.78	|			| gtg2, gtg2t
Golden Tee 3D Golf 							|trk,2+bt		|		| 		|			| 
Golden Tee Golf '97							|trk,2+bt		|		| 		|			| 
Golden Tee Golf '98							|trk,2+bt		|		| 		|			| 
Golden Tee '99 								|trk,2+bt		|		| 		|			| 
Golden Tee 2K 								|trk,2+bt		|		| 		|			| 
Gorf										|				|		|		|			|
Gradius										|				|	y	| 0.78	|			| gradius
Gradius 4: Fukkatsu							|				|		|		|			|
Gradius II									|				|	y	| 0.78	|			| gradius2, grdius2a, grdius2b
Gradius III									|				|	y	| 0.78	|			| gradius3, grdius3a, grdius3e
Gratia Second Earth							|				|		|		|			|
Green Beret									|				|		|		|			|
Growl   									|				|		|		|			|
Guardians   								|				|		|		|			|
Guerrilla War						(2p)	|8wy rot,2bt	|		|		|			|
Guilty Gear Xx Accent Core					|				|		|		|			|
Gun Force									|				|		|		|			|
Gun Force II								|				|		|		|			|
Gun Frontier								|				|		|		|			|
Gun Spike									|				|		|		|			|
Gun.Smoke									|				|	y	| 0.78	|			| gunsmoka?, gunsmoku?, gunsmoke, gunsmokj
Gunbird										|				|		|		|			|
Gunbird 2									|				|		|		|			|
Gundhara									|				|		|		|			|
Gunforce									|				|		|		|			|
Gunlock										|				|		|		|			|
Guwange										|				|		|		|			|
Gyruss										|				|		|		|			|
Hard Drivin'								|270,5pos,3ped	|		|		|			| 
Hat Trick									|				|		|		|			|
Hatch Catch									|				|		|		|			|
Heavy Barrel						(2p)	|8wy rot,2bt	|		|		|			|
Heavy Metal Geomatrix						|				|		|		|			|
Heavy Smash									|				|		|		|			|
Hellfire									|				|		|		|			|
Homura										|				|		|		|			|
Hook   										|				|		|		|			|
Hopping Mappy								|				|	y	| 0.78	|			| hopmappy
Hyper Athlete								|				|		|		|			|
Hyper Duel									|				|		|		|			|
Ibara Kuro Black Label						|				|		|		|			|
Ikari III - The Rescue				(2p)	|8wy rot,3bt	|		|		|			|
Ikari Warriors						(2p)	|8wy rot,2bt	|		|		|			|
Ikaruga										|				|		|		|			|
Illvelo										|				|		|		|			|
In The Hunt									|				|		|		|			|
Indiana Jones and the Temple of Doom		|				|		|		|			| 
Ironman Ivan Stewart's Super Off Road	(3p)|360,1ped		|	y	| 0.78	|			| offroad, offroadt?
Jackal										|				|	y	| 0.78	|			| jackal
Jingi Storm									|				|		|		|			|
Jojo's Venture								|				|		|		|			|
Journey										|				|		|		|			|
Joust										|				|	y	| 0.78	|			| joust, joustwr
Joust 2 Survival of the Fittest				|				|	y	| 0.78	|			| joust2
Jr. Pac Man									|				|	y	| 0.78	|			| jrpacman
Jumping Jack								|				|		|		|			|
Jungle King	/ Jungle Hunt					|				|	y	| 0.78	|			| jungleh, junglkj2, junglek, junglhbr?
Juno First									|				|		|		|			|
Kangaroo									|				|	y	| 0.78	|			| kangaroo, kangaroa
Karous										|				|		|		|			|
Ketsui: Kizuna Jigoku Tachi					|				|		|		|			|
Killer Instinct								|				|		|		|			| 
Killer Instinct II							|				|		|		|			| 
King Of Dragons								|				|		|		|			|
King Of Fighters '96						|				|		|		|			|
King Of Fighters '98 - The Slugfest			|				|		|		|			|
King Of Fighters '98 - Ultimate Match Hero	|				|		|		|			|
King Of Fighters 2000						|				|		|		|			|
King Of Fighters XIII						|				|		|		|			|
Kizuna Encounter							|				|		|		|			|
Klax										|				|	y	| 0.78	|			| klaxd?, klaxj, klax, klax2, klax3
Knights Of The Round						|				|	y	| 0.78	|			| knightsj, knightsu, knights
Knights Of Valour							|				|		|		|			|
Knights Of Valour 2   						|				|		|		|			|
Knuckle Bash   								|				|		|		|			|
Kof - Maximum Impact Regulation A			|				|		|		|			|
Koutetsu Yousai Strahl						|				|		|		|			|
Krull								(1p)	|2x8wy			|		|		|			|
Kung Fu Master								|				|	y	| 0.78	|			| kungfud, kungfum
Kuru Kuro Chameleon							|				|		|		|			|
Lady Bug									|				|		|		|			|
Land Maker									|				|		|		|			|
Last Blade									|				|	y	| 0.78	|			| lastblad, lastblada
Last Blade 2								|				|	y	| 0.78	|			| lastbld2
Last Bronx									|				|		|		|			|
Last Resort									|				|		|		|			|
League Bowling								|				|		|		|			|
Legend Of Heroes   							|				|		|		|			|
Legend Of Silkroad							|				|		|		|			|
Legendary Wings								|				|		|		|			|
Lethal Enforcers					(2p)	|light-gun		|		|		|			|
Lethal Enforcers 2					(2p)	|light-gun		|		|		|			|
Lethal Thunder								|				|		|		|			|
Life Force									|				|	y	| 0.78	|			| lifefrcj
Light Bringer  								|				|		|		|			|
Loco Motion									|				|		|		|			|
Lode Runner									|				|	y	| 0.78	|			| ldrun, ldruna
Lode Runner	- The Dig Fight					|				|	y	| 0.78	|			| loderdfa, loderndf
Lode Runner	II								|				|	y	| 0.78	|			| ldrun2
Lode Runner	III								|				|	y	| 0.78	|			| ldrun3jp, ldrun3
Lode Runner	IV								|				|	y	| 0.78	|			| ldrun4
Mace: The Dark Ages							|				|		|		|			|
Mach Breakers Numan Athletics 2				|				|		|		|			|
Macross Plus								|				|		|		|			|
Mad Gear									|				|		|		|			|
Magical Drop 2								|				|	y	| 0.78	|			| magdrop2
Magical Drop 3								|				|	y	| 0.78	|			| magdrop3
Magical Error Wo Sagase						|				|		|		|			|
Mamoru-Kun Wa Norowarete Shimatta!			|				|		|		|			|
Mappy										|				|	y	| 0.78	|			| mappy, mappyj
Marble Madness								|trk			|	y	| 0.78	|			| marble, marble2, marble3, marble4
Mario Bros.									|				|	y	| 0.78	|			| mario, mariojp
Mars Matrix: Hyper Solid Shooting			|				|		|		|			|
Martial Champion							|				|		|		|			|
Martial Masters								|				|		|		|			|
Marvel Super Heroes							|				|		|		|			|
Marvel Super Heroes Vs Street Fighter		|				|		|		|			|
Marvel vs Capcom							|				|	y	| 0.78	|			| mvsc, mvsca, mvsch, mvscj, mvscjr1
Marvel vs Capcom 2							|				|		|		|			| 
Matrimelee									|				|		|		|			|
Mazinger Z									|				|		|		|			|
Mega Man 2: The Power Fighters				|				|		|		|			|
Mega Man The Power Battle					|				|		|		|			|
Mercs										|				|		|		|			|
Metal Black									|				|		|		|			|
Metal Slug									|				|	y	| 0.78	|			| mslug
Metal Slug 2								|				|	y	| 0.78	|			| mslug2
Metal Slug 3								|				|	y	| 0.78	|			| mslug3, mslug3n
Metal Slug 4								|				|		|		|			| 
Metal Slug 5								|				|		|		|			| 
Metal Slug 6								|				|		|		|			| 
Metal Slug X								|				|	y	| 0.78	|			| mslugx
Metamoqester								|				|		|		|			|
Metamorphic Force   						|				|		|		|			|
Michael Jackson's Moonwalker				|				|		|		|			| 
Midnight Resistance					(2p)	|8wy rot,2bt	|		|		|			|
Mighty Bomb Jack							|4wy,1bt		|		|		|
Mikie										|				|	y	| 0.78	|			| mikie, mikiehs
Mille Miglia 2: 1000 Miglia Rally			|270,2ped		|		|		|			|
Millipede									|trackball,1bt	|	y	| 0.78	|			| milliped
Missile Command								|trackball,3bt	|	y	| 0.78	|			| missile, missile2
Mobile Suit Gundam Ex						|				|		|		|			|
Moero! Justice Gakuen						|				|		|		|			|
Money Puzzle Exchanger						|				|		|		|			|
Moon Cresta									|				|		|		|			|
Moon Patrol									|				|	y	| 0.78	|			| mpatrol, mpatrolw
Mortal Kombat								|				|	y	| 0.78	|			| mk, mkla1, mkla2, mkla3, mkla4, mkr4
Mortal Kombat 3								|				|	y	| 0.78	|			| mk3, mk3r10, mk3r20
Mortal Kombat 4								|				|		|		|			| 
Mortal Kombat II							|				|	y	| 0.78	|			| mk2r14, mk2r21, mk2, mk2r32
